text,attitudes_count
今天起#肯德基汁汁牛堡有两种#！ 全新的汁汁嫩牛堡高品质汁汁厚牛堡都在@肯德基 汁汁牛堡大菜单快和我一起来肯德基畅享多汁牛堡! 肯德基的微博视频 ,1725060
2022这不就来了嘛！#电影无名首支预告#,2171908
#冬奥15赛项12支中国队穿安踏##爱运动中国有安踏# 看北京冬奥感受中国冰上速度奥运健儿加油加油期待你们夺冠那一刻! 安踏的微博视频 ,1790598
奥运冰雪之梦就在今夜点燃！#今日立春冬奥开幕#,1981844
#虎年第一条微博# 给大家拜年！新年快乐！ ,4741355
四海之内皆摩托兄弟@韩寒 @尹正 大年初一看《四海》！ ,3137046
“China China Together尽情美好联想” 我们用脚下银色焰火和#中国短道速滑队#  一起燃冰#一起超越#,1555520
魔爪能量尽兴释放来罐魔爪能量@MonsterEnergy魔爪 一起点燃你的带劲冬日高能不停! #魔爪能量 不乏味 更带劲#MonsterEnergy魔爪的微博视频 ,1481522
#上优酷乐虎年# 新春将至祝大家虎年行大运虎虎生风！马上打开@优酷 摇一摇嘭友日活动福利满满惊喜不断2022一起加油一起好吃好喝看好剧 #嘭友日嘭福利# 优酷VIP会员的微博视频 ,1239301
#河南春晚新年虎来个# 潮是云奔潮涌的青春热血也是滚滚当潮的时代新声1月30日19:30   @河南春晚官方 为你送上新年祝福！ ,1603652
向英勇无畏的七连战士致敬！#电影长津湖之水门桥预售#,1179741
来个#肯德基虎年大金桶#看冬奥！和@肯德基 一起助威冬奥「虎虎生金」！肯德基的微博视频 ,1345573
一如既往不负所爱带上@纯甄 新一代健康甄酸奶和我一起开启健康新生活吧！纯甄 #京东超级大牌闪购日#来蒙牛京东自营旗舰店享更多惊喜好礼~ 纯甄的微博视频 ,1333332
#冰雪之上我们的主场# 这个冬天北京是我们共同的冰雪主场主场战将现已集结完毕U型场地更已准备就绪让我们一起主场见！ #奥迪quattro全力支持中国冰雪运动队#,1328262
发现#红山茶花#的非凡能量探索#香奈儿一号红山茶花系列#的创新之力#先见未来之美##香奈儿护肤# ,1583138
请大家关注求助通道我们一起战胜疫情！,1253494
美好的笑容总能拉近我们的距离我和@高露洁Colgate 准备了新年小彩蛋上品牌旗舰店搜索「一博新年笑」快来领取你的笑容好礼吧！新的一年愿你笑迎红运年欢笑“美”一天你们新年都有什么欢笑的故事呢 #一博新年笑着见#高露洁Colgate的微博视频 ,1295653
#人民警察节主题MV# 致敬每一位人民警察！,1294642
#红山茶花# 她引领新的时代以先锋之力开启美的新篇章,1586254
廿 ,2186586
#风起洛阳大结局大风预警# 神都大风欲来想破坏来之不易的太平盛景不可今晚8点#风起洛阳#  大结局一探究竟风起洛阳官微的微博视频 ,1317368
@植村秀中国 隆重上市新年鎏岩限定#植村秀绢感小黑方#限定包装以鎏岩为灵感闪耀金色喷涌而出耀眼炫色实力炸场！和我一起点燃红运升温满满新年能量！植村秀中国的微博视频 ,1450330
#一起为中国冰雪加油##北京冬奥倒计时40天# “冰雪运动推广大使”对我来说是荣誉也是使命让我们共同推动冰雪运动蓬勃发展助力2022年北京冬奥会成功举办#我是冬奥体验官# ,1303133
#你想成为2022哪道光# 跟随自己的内心和直觉勇敢做出每个决定是我所认为的勇气之光12月31日19:30  锁定《湖南卫视2021-2022跨年晚会》 你就是光！#跨年时光机# ,1544757
专注自己所见追寻内心所在我是@海伦凯勒眼镜 品牌代言人王一博和我一起一镜出色自在逐梦 直视真我放胆一“博”！#王一博代言海伦凯勒眼镜#海伦凯勒眼镜的微博视频 ,1699174
"时刻状态在线, 我的秘诀就是… 炫迈劲醒无糖口香糖@Stride炫迈上饿了么搜炫迈劲醒一片get好状态！ 网页链接 ",1327440
距离2022年还有10天提前祝大家新的一年快乐~向你发发发发来一份@饿了么 准备的专属年终礼！12月22日至1月3日上饿了么搜索【发发节】请查收吧！#饿了么发发节来了# ,1326368
喜迎北京冬奥会倒计时50天#和冰娃雪娃一起为中国冰雪点赞# 华夏大地绽放冰雪之花让我们和冰娃雪娃一起参与冰雪运动体验冰雪乐趣共赴冬梦之约 UNIQ-王一博的微博视频 ,1559323
国之殇未敢忘珍爱和平！#南京大屠杀之痛永不敢忘#,1540659
这里有筷手小厨和我为你准备的惊喜宝盒即刻起来和小厨一起干饭！搜索@筷手小厨 天猫官方旗舰店Get同款礼盒！#筷手小厨 王一博有拌法##拌饭就拌干拌饭# 筷手小厨的微博视频 ,1456465
香奈儿2021/22高级手工坊系列将旗下各个手工坊的技艺展现得淋漓尽致由Lesage刺绣坊创作的全亮片刺绣的斜纹软呢外套极具细节感与运动衫材质拼接的外套饰以涂鸦刺绣街头感十足还有以男士大衣外套为灵感打造的多款中性风造型搭配大量复古金银色系的配饰呈现出一场向非凡工艺致敬的盛会 ...全文,1478840
#风起洛阳#说自己不会打架还四处莽莽撞撞百里弘毅在我高秉烛@黄轩的微博 的手上这就接管他的账号！不要擅自行动听安排！ #电视剧大赏# ,1881805
#电影我们是第一书记上映# 因为我们在一起地上的眼泪终会变成天上的彩虹今天一起去电影院致敬那些平凡英雄 @新华网 @电影我们是第一书记,1353727
#当红不让新青年#年轻不设限当红一代自当强！和涵哥一起用短视频拍出你心中的湘潭红吧！用你的美展现城市之美赋予更美的自己！ UNIQ-王一博的微博视频 ,1320587
#风起洛阳开播# 百工造极迷案起入神都#风起洛阳入神都终极预告#  风起洛阳官微的微博视频 ,2078765
我的名字是王一博我来了！,1324766
#风起洛阳定档# 扉启现风云不慕玉楼金阙且问难题何解#风起洛阳# ,2229458
无名,2297159
